n,R,n2_over_8_minus_R,label
3,0.260869565217,0.864130434783,CERTIFIED
4,0.844453589561,1.155546410439,CERTIFIED
5,1.695494081203,1.429505918797,CERTIFIED
6,2.794919518897,1.705080481103,CERTIFIED
7,4.153189553744,1.971810446256,CERTIFIED
8,5.767794284586,2.232205715414,CERTIFIED
9,7.726726552606,2.398273447394,CERTIFIED
10,9.979907385854,2.520092614146,CERTIFIED
11,12.488720487174,2.636279512826,CERTIFIED
12,15.258870430432,2.741129569568,CERTIFIED
13,18.317563047198,2.807436952802,CERTIFIED
14,21.665395182197,2.834604817803,NON-EXHAUSTIVE
15,25.290151636714,2.834848363286,NON-EXHAUSTIVE
16,29.194988498141,2.805011501859,NON-EXHAUSTIVE
17,33.394425022062,2.730574977938,NON-EXHAUSTIVE
18,37.870755667393,2.629244332607,NON-EXHAUSTIVE
